council_district,request_count,standardized_category,district_area_sq_mi,requests_per_sq_mile,category_density_percentile
A,202,Drainage / Flooding,82.15380733687743,2.4588026598899413,27.27272727272727
B,544,Drainage / Flooding,112.86820451786754,4.819780755118527,54.54545454545454
C,527,Drainage / Flooding,35.18519681491094,14.977889786214458,100.0
D,461,Drainage / Flooding,58.48669326173092,7.882134794952445,81.81818181818183
E,174,Drainage / Flooding,129.7635477981261,1.3409004528043023,9.090909090909092
F,89,Drainage / Flooding,53.31210703810855,1.6694144153105979,18.181818181818183
G,179,Drainage / Flooding,33.37001642174926,5.364096850828483,63.63636363636363
H,417,Drainage / Flooding,41.939097556354895,9.942989341620045,90.9090909090909
I,327,Drainage / Flooding,56.481656888417724,5.789490217080644,72.72727272727273
J,93,Drainage / Flooding,20.78955100397228,4.47340108414224,36.36363636363637
K,225,Drainage / Flooding,47.40965849541504,4.745868397718149,45.45454545454545
A,697,Road / Pothole / Bridge,82.15380733687743,8.484086405659847,27.27272727272727
B,921,Road / Pothole / Bridge,112.86820451786754,8.15995969754442,18.181818181818183
C,1385,Road / Pothole / Bridge,35.18519681491094,39.363144884074046,100.0
D,1027,Road / Pothole / Bridge,58.48669326173092,17.55954974927584,63.63636363636363
E,397,Road / Pothole / Bridge,129.7635477981261,3.059410803237402,9.090909090909092
F,463,Road / Pothole / Bridge,53.31210703810855,8.684706452683223,36.36363636363637
G,599,Road / Pothole / Bridge,33.37001642174926,17.950245886291963,72.72727272727273
H,849,Road / Pothole / Bridge,41.939097556354895,20.243640170348726,90.9090909090909
I,1045,Road / Pothole / Bridge,56.481656888417724,18.501581886389214,81.81818181818183
J,351,Road / Pothole / Bridge,20.78955100397228,16.883481511117488,54.54545454545454
K,595,Road / Pothole / Bridge,47.40965849541504,12.550185318410216,45.45454545454545
A,324,Sewer / Wastewater,82.15380733687743,3.9438220881403017,18.181818181818183
B,623,Sewer / Wastewater,112.86820451786754,5.51971215154199,36.36363636363637
C,391,Sewer / Wastewater,35.18519681491094,11.112627905901048,100.0
D,617,Sewer / Wastewater,58.48669326173092,10.549408174589281,81.81818181818183
E,283,Sewer / Wastewater,129.7635477981261,2.1808898169173423,9.090909090909092
F,267,Sewer / Wastewater,53.31210703810855,5.008243245931794,27.27272727272727
G,233,Sewer / Wastewater,33.37001642174926,6.982316012530931,54.54545454545454
H,449,Sewer / Wastewater,41.939097556354895,10.706000514118466,90.9090909090909
I,488,Sewer / Wastewater,56.481656888417724,8.639973167998026,72.72727272727273
J,138,Sewer / Wastewater,20.78955100397228,6.637949995823969,45.45454545454545
K,333,Sewer / Wastewater,47.40965849541504,7.023885228622861,63.63636363636363
A,0,Sidewalk / Bike Lane,82.15380733687743,0.0,50.0
B,0,Sidewalk / Bike Lane,112.86820451786754,0.0,50.0
C,0,Sidewalk / Bike Lane,35.18519681491094,0.0,50.0
D,0,Sidewalk / Bike Lane,58.48669326173092,0.0,50.0
E,0,Sidewalk / Bike Lane,129.7635477981261,0.0,50.0
F,0,Sidewalk / Bike Lane,53.31210703810855,0.0,50.0
G,0,Sidewalk / Bike Lane,33.37001642174926,0.0,50.0
H,1,Sidewalk / Bike Lane,41.939097556354895,0.02384409914057565,100.0
I,0,Sidewalk / Bike Lane,56.481656888417724,0.0,50.0
J,0,Sidewalk / Bike Lane,20.78955100397228,0.0,50.0
K,0,Sidewalk / Bike Lane,47.40965849541504,0.0,50.0
A,3981,Solid Waste / Recycling,82.15380733687743,48.45788806446463,36.36363636363637
B,5930,Solid Waste / Recycling,112.86820451786754,52.539154187229535,45.45454545454545
C,6180,Solid Waste / Recycling,35.18519681491094,175.6420472083593,100.0
D,5769,Solid Waste / Recycling,58.48669326173092,98.63782132772377,81.81818181818183
E,2405,Solid Waste / Recycling,129.7635477981261,18.533710281576706,9.090909090909092
F,2124,Solid Waste / Recycling,53.31210703810855,39.84085638336753,27.27272727272727
G,953,Solid Waste / Recycling,33.37001642174926,28.5585715018969,18.181818181818183
H,5439,Solid Waste / Recycling,41.939097556354895,129.68805522559094,90.9090909090909
I,4734,Solid Waste / Recycling,56.481656888417724,83.81482167480053,63.63636363636363
J,1291,Solid Waste / Recycling,20.78955100397228,62.098503221802495,54.54545454545454
K,4352,Solid Waste / Recycling,47.40965849541504,91.79564118608616,72.72727272727273
A,849,Traffic Signals / Lighting,82.15380733687743,10.334274545775049,36.36363636363637
B,763,Traffic Signals / Lighting,112.86820451786754,6.760096904697494,18.181818181818183
C,1367,Traffic Signals / Lighting,35.18519681491094,38.851566105797275,100.0
D,959,Traffic Signals / Lighting,58.48669326173092,16.396892122254652,54.54545454545454
E,520,Traffic Signals / Lighting,129.7635477981261,4.007288709530099,9.090909090909092
F,465,Traffic Signals / Lighting,53.31210703810855,8.72222138336436,27.27272727272727
G,1053,Traffic Signals / Lighting,33.37001642174926,31.555273653197727,90.9090909090909
H,1059,Traffic Signals / Lighting,41.939097556354895,25.25090098986961,72.72727272727273
I,931,Traffic Signals / Lighting,56.481656888417724,16.48322749878312,63.63636363636363
J,575,Traffic Signals / Lighting,20.78955100397228,27.658124982599873,81.81818181818183
K,676,Traffic Signals / Lighting,47.40965849541504,14.25869794158875,45.45454545454545
A,806,Water,82.15380733687743,9.810866058768775,18.181818181818183
B,1160,Water,112.86820451786754,10.277473669002742,27.27272727272727
C,2095,Water,35.18519681491094,59.54208558276905,100.0
D,1946,Water,58.48669326173092,33.27252562034156,81.81818181818183
E,1018,Water,129.7635477981261,7.845038281349308,9.090909090909092
F,1306,Water,53.31210703810855,24.497249734782482,36.36363636363637
G,1466,Water,33.37001642174926,43.93165353807015,90.9090909090909
H,1154,Water,41.939097556354895,27.516090408224297,54.54545454545454
I,1421,Water,56.481656888417724,25.158610392879496,45.45454545454545
J,634,Water,20.78955100397228,30.49608911124925,72.72727272727273
K,1323,Water,47.40965849541504,27.905706178582715,63.63636363636363
