council_district,category_balanced_density_score,categories_used,service_burden_score,service_burden_class,request_count,requests_per_sq_mile,category_balanced_class
C,92.85714285714286,7,80.45454545454545,Very High,11945,339.4893614731152,Very High
H,84.4155844155844,7,78.63636363636363,Very High,9368,223.37152074891267,Very High
D,70.77922077922078,7,65.90909090909092,High,10779,184.29833178913753,High
I,64.28571428571429,7,55.0,High,8946,158.387704837931,High
G,62.98701298701298,7,40.90909090909091,Medium,4483,134.34215744281616,High
J,56.493506493506494,7,44.99999999999999,Medium,3082,148.24754990673532,High
K,55.1948051948052,7,50.90909090909091,High,7504,158.27998425100884,High
B,35.714285714285715,7,60.909090909090914,High,9941,88.07617736513471,Medium
F,31.81818181818182,7,39.54545454545455,Medium,4714,88.42269161543999,Medium
A,30.519480519480517,7,52.27272727272727,High,6859,83.48973982269855,Medium
E,14.935064935064934,7,30.454545454545457,Medium,4797,36.96723834541516,Low
