council_district,district_area_sq_mi,estimated_population,estimated_households,request_count,unresolved_count,long_resolution_count,repeat_clustered_count,median_resolution_days,unresolved_share,long_resolution_share,repeat_cluster_share,requests_per_sq_mile,requests_per_10k_residents,requests_per_10k_households,resident_rate_percentile,household_rate_percentile,median_resolution_percentile,unresolved_share_percentile,long_resolution_share_percentile,repeat_cluster_share_percentile,resident_request_rate_component,household_request_rate_component,median_resolution_days_component,unresolved_share_component,long_resolution_share_component,repeat_cluster_share_component,screening_score,screening_class
C,35.18519681491094,,,11945,1909,2263,5783,4.002361111111111,0.1598158225198828,0.18945165341146925,0.48413562159899537,339.4893614731152,,,100.0,100.0,54.54545454545454,72.72727272727273,36.36363636363637,100.0,16.666666666666664,16.666666666666664,9.09090909090909,12.121212121212121,6.0606060606060606,16.666666666666664,77.27272727272728,Very High
H,41.939097556354895,,,9368,1685,1926,3885,4.968009259259259,0.17986763450042698,0.2055935098206661,0.41470964987190434,223.37152074891267,,,90.9090909090909,90.9090909090909,81.81818181818183,90.9090909090909,54.54545454545454,45.45454545454545,15.15151515151515,15.15151515151515,13.636363636363637,15.15151515151515,9.09090909090909,7.575757575757575,75.75757575757575,Very High
D,58.48669326173092,,,10779,1455,2466,4611,3.6000694444444443,0.13498469245755637,0.22877817979404397,0.42777623156136935,184.29833178913753,,,81.81818181818183,81.81818181818183,45.45454545454545,27.27272727272727,90.9090909090909,72.72727272727273,13.636363636363637,13.636363636363637,7.575757575757575,4.545454545454545,15.15151515151515,12.121212121212121,66.66666666666667,High
B,112.86820451786754,,,9941,1952,2145,4160,4.984195601851852,0.1963585152399155,0.2157730610602555,0.41846896690473795,88.07617736513471,,,27.27272727272727,27.27272727272727,90.9090909090909,100.0,72.72727272727273,63.63636363636363,4.545454545454545,4.545454545454545,15.15151515151515,16.666666666666664,12.121212121212121,10.606060606060606,63.63636363636364,High
A,82.15380733687743,,,6859,1018,1883,2855,6.537274305555556,0.14841813675462895,0.27452981484181366,0.4162414346114594,83.48973982269855,,,18.181818181818183,18.181818181818183,100.0,45.45454545454545,100.0,54.54545454545454,3.0303030303030303,3.0303030303030303,16.666666666666664,7.575757575757575,16.666666666666664,9.09090909090909,56.06060606060606,High
I,56.481656888417724,,,8946,1173,1893,3636,4.054039351851852,0.1311200536552649,0.21160295103957075,0.40643863179074446,158.387704837931,,,72.72727272727273,72.72727272727273,63.63636363636363,9.090909090909092,63.63636363636363,36.36363636363637,12.121212121212121,12.121212121212121,10.606060606060606,1.5151515151515151,10.606060606060606,6.0606060606060606,53.03030303030303,High
K,47.40965849541504,,,7504,1136,1439,2958,3.0209664351851853,0.1513859275053305,0.1917643923240938,0.39418976545842216,158.27998425100884,,,63.63636363636363,63.63636363636363,36.36363636363637,63.63636363636363,45.45454545454545,27.27272727272727,10.606060606060606,10.606060606060606,6.0606060606060606,10.606060606060606,7.575757575757575,4.545454545454545,50.0,High
J,20.78955100397228,,,3082,506,429,1211,1.900734953703704,0.16417910447761194,0.1391953277092797,0.39292667099286177,148.24754990673532,,,54.54545454545454,54.54545454545454,27.27272727272727,81.81818181818183,27.27272727272727,18.181818181818183,9.09090909090909,9.09090909090909,4.545454545454545,13.636363636363637,4.545454545454545,3.0303030303030303,43.93939393939394,Medium
G,33.37001642174926,,,4483,615,605,1999,1.1223148148148148,0.13718492081195627,0.13495427169306268,0.44590675886683023,134.34215744281616,,,45.45454545454545,45.45454545454545,9.090909090909092,36.36363636363637,18.181818181818183,90.9090909090909,7.575757575757575,7.575757575757575,1.5151515151515151,6.0606060606060606,3.0303030303030303,15.15151515151515,40.90909090909091,Medium
F,53.31210703810855,,,4714,705,566,2094,1.7614467592592593,0.14955451845566398,0.12006788290199406,0.44420873992363175,88.42269161543999,,,36.36363636363637,36.36363636363637,18.181818181818183,54.54545454545454,9.090909090909092,81.81818181818183,6.0606060606060606,6.0606060606060606,3.0303030303030303,9.09090909090909,1.5151515151515151,13.636363636363637,39.39393939393939,Medium
E,129.7635477981261,,,4797,647,1077,1491,4.562494212962963,0.13487596414425682,0.22451532207629768,0.31081926203877425,36.96723834541516,,,9.090909090909092,9.090909090909092,72.72727272727273,18.181818181818183,81.81818181818183,9.090909090909092,1.5151515151515151,1.5151515151515151,12.121212121212121,3.0303030303030303,13.636363636363637,1.5151515151515151,33.333333333333336,Medium
