council_district,district_area_sq_mi,estimated_population,estimated_households,request_count,unresolved_count,long_resolution_count,repeat_clustered_count,median_resolution_days,unresolved_share,long_resolution_share,repeat_cluster_share,requests_per_sq_mile,requests_per_10k_residents,requests_per_10k_households,resident_rate_percentile,household_rate_percentile,median_resolution_percentile,unresolved_share_percentile,long_resolution_share_percentile,repeat_cluster_share_percentile,resident_request_rate_component,household_request_rate_component,median_resolution_days_component,unresolved_share_component,long_resolution_share_component,repeat_cluster_share_component,screening_score,screening_class
C,35.18519681491094,,,5765,743,544,2022,0.982476851851852,0.12888117953165654,0.09436253252385082,0.3507372072853426,163.84731426475588,,,100.0,100.0,63.63636363636363,90.9090909090909,54.54545454545454,72.72727272727273,25.0,15.0,12.727272727272727,13.636363636363635,5.454545454545454,10.90909090909091,82.72727272727272,Very High
H,41.939097556354895,,,3929,515,417,1089,1.1078761574074074,0.1310766098243828,0.10613387630440316,0.27716976329854925,93.68346552332171,,,81.81818181818183,81.81818181818183,100.0,100.0,72.72727272727273,27.27272727272727,20.454545454545457,12.272727272727273,20.0,15.0,7.272727272727273,4.09090909090909,79.0909090909091,Very High
D,58.48669326173092,,,5010,607,597,1408,0.987476851851852,0.12115768463073852,0.11916167664670659,0.2810379241516966,85.66051046141378,,,63.63636363636363,63.63636363636363,72.72727272727273,45.45454545454545,100.0,36.36363636363637,15.909090909090908,9.545454545454545,14.545454545454547,6.8181818181818175,10.0,5.454545454545455,62.27272727272727,High
G,33.37001642174926,,,3530,365,267,1533,0.880318287037037,0.10339943342776203,0.07563739376770538,0.43427762039660056,105.78358594091925,,,90.9090909090909,90.9090909090909,27.27272727272727,18.181818181818183,9.090909090909092,100.0,22.727272727272727,13.636363636363635,5.454545454545454,2.7272727272727275,0.9090909090909092,15.0,60.454545454545446,High
I,56.481656888417724,,,4212,520,441,1351,0.9747569444444444,0.12345679012345678,0.1047008547008547,0.32075023741690406,74.5728831631305,,,54.54545454545454,54.54545454545454,54.54545454545454,63.63636363636363,63.63636363636363,54.54545454545454,13.636363636363635,8.18181818181818,10.909090909090908,9.545454545454545,6.363636363636363,8.18181818181818,56.818181818181806,High
J,20.78955100397228,,,1791,196,144,636,0.7937210648148149,0.10943606923506422,0.08040201005025126,0.35510887772194305,86.14904668493281,,,72.72727272727273,72.72727272727273,18.181818181818183,36.36363636363637,18.181818181818183,81.81818181818183,18.181818181818183,10.90909090909091,3.6363636363636367,5.454545454545455,1.8181818181818183,12.272727272727273,52.27272727272728,High
B,112.86820451786754,,,4011,511,464,1034,0.9970601851851852,0.1273996509598604,0.11568187484417851,0.2577910745450012,35.53702317790517,,,27.27272727272727,27.27272727272727,81.81818181818183,81.81818181818183,90.9090909090909,18.181818181818183,6.8181818181818175,4.09090909090909,16.363636363636367,12.272727272727273,9.090909090909092,2.7272727272727275,51.36363636363637,High
E,129.7635477981261,,,2392,296,267,581,1.1031828703703703,0.12374581939799331,0.11162207357859531,0.24289297658862877,18.433528063838455,,,9.090909090909092,9.090909090909092,90.9090909090909,72.72727272727273,81.81818181818183,9.090909090909092,2.272727272727273,1.3636363636363638,18.181818181818183,10.90909090909091,8.181818181818183,1.3636363636363638,42.27272727272729,Medium
K,47.40965849541504,,,3152,344,283,899,0.9209375,0.10913705583756345,0.08978426395939086,0.2852157360406091,66.4843430649227,,,45.45454545454545,45.45454545454545,36.36363636363637,27.27272727272727,45.45454545454545,45.45454545454545,11.363636363636363,6.8181818181818175,7.272727272727273,4.09090909090909,4.545454545454546,6.8181818181818175,40.90909090909091,Medium
A,82.15380733687743,,,2878,355,253,935,0.9604976851851852,0.12334954829742877,0.08790826963168867,0.32487838776928424,35.03185175823391,,,18.181818181818183,18.181818181818183,45.45454545454545,54.54545454545454,36.36363636363637,63.63636363636363,4.545454545454546,2.7272727272727275,9.090909090909092,8.18181818181818,3.6363636363636367,9.545454545454545,37.72727272727273,Medium
F,53.31210703810855,,,2590,243,211,988,0.7653587962962963,0.09382239382239382,0.08146718146718147,0.38146718146718145,48.58183523207246,,,36.36363636363637,36.36363636363637,9.090909090909092,9.090909090909092,27.27272727272727,90.9090909090909,9.090909090909092,5.454545454545455,1.8181818181818183,1.3636363636363638,2.727272727272727,13.636363636363635,34.09090909090909,Medium
