council_district,top_category,top_category_request_count,top_category_share,request_count,unresolved_share,long_resolution_share,repeat_cluster_share,median_resolution_days,service_burden_score,service_burden_class
H,Solid Waste / Recycling,5449,0.582656116338751,9352,0.18028229255774167,0.2069076133447391,0.41520530367835756,5.032453703703704,80.90909090909092,Very High
C,Solid Waste / Recycling,6187,0.519784928169369,11903,0.1607997983701588,0.18995211291271108,0.48559186759640427,4.014016203703704,73.63636363636363,High
B,Solid Waste / Recycling,5940,0.5971649743641299,9947,0.19654167085553434,0.21584397305720318,0.4210314667739017,5.002609953703704,65.9090909090909,High
D,Solid Waste / Recycling,5782,0.5380606737390657,10746,0.13521310254978597,0.22920156337241765,0.4284384887399963,3.604837962962963,62.272727272727266,High
A,Solid Waste / Recycling,3985,0.5815820198482194,6852,0.14784004670169293,0.2753940455341506,0.4166666666666667,6.629270833333333,60.0,High
K,Solid Waste / Recycling,4356,0.5771829866171989,7547,0.1509208957201537,0.19159931098449715,0.397641446932556,3.007407407407408,52.27272727272728,High
I,Solid Waste / Recycling,4638,0.5278251963127347,8787,0.13110276544895869,0.21144873108000456,0.399112325025606,4.054039351851852,49.09090909090909,Medium
J,Solid Waste / Recycling,1296,0.41273885350318473,3140,0.16337579617834394,0.1375796178343949,0.40445859872611467,1.8521296296296297,47.27272727272728,Medium
E,Solid Waste / Recycling,2404,0.49989602828030777,4809,0.13474734872114785,0.22353919733832397,0.3125389893948846,4.41962962962963,37.72727272727273,Medium
F,Solid Waste / Recycling,2133,0.4505703422053232,4734,0.14976763836079426,0.11977186311787072,0.4459231094212083,1.7680034722222222,36.81818181818182,Medium
G,Water,1468,0.3297394429469901,4452,0.13656783468104222,0.13634321653189577,0.4449685534591195,1.1232754629629629,34.09090909090909,Medium
