council_district,request_count,records_with_coordinates,spatially_assigned_records,coordinate_completeness,spatial_assignment_share,source_spatial_district_agreement
A,6859,6859,6856,1.0,0.999562618457501,0.9953325554259043
B,9941,9941,9916,1.0,0.9974851624585052,0.9941508672851956
C,11945,11945,11942,1.0,0.9997488488907492,0.9891977893150226
D,10779,10779,9926,1.0,0.9208646442156044,0.9925448317549869
E,4797,4797,1792,1.0,0.37356681259120283,0.9966517857142857
F,4714,4714,4703,1.0,0.9976665252439542,0.9921326812672762
G,4483,4483,4469,1.0,0.996877091233549,0.9820989035578429
H,9368,9368,9366,1.0,0.9997865072587532,0.9923126201153107
I,8946,8946,8933,1.0,0.9985468365750055,0.980521661256017
J,3082,3082,3080,1.0,0.9993510707332901,0.9954545454545455
K,7504,7504,7490,1.0,0.9981343283582089,0.9945260347129506
