month,standardized_category,request_count
2025-04,Solid Waste / Recycling,10840
2025-04,Water,5100
2025-04,Traffic Signals / Lighting,3017
2025-04,Road / Pothole / Bridge,2533
2025-04,Sewer / Wastewater,1534
2025-04,Drainage / Flooding,1066
2025-05,Solid Waste / Recycling,12647
2025-05,Water,4673
2025-05,Traffic Signals / Lighting,3059
2025-05,Road / Pothole / Bridge,2856
2025-05,Sewer / Wastewater,1345
2025-05,Drainage / Flooding,901
2025-06,Solid Waste / Recycling,19707
2025-06,Water,4639
2025-06,Traffic Signals / Lighting,3219
2025-06,Road / Pothole / Bridge,3016
2025-06,Sewer / Wastewater,1302
2025-06,Drainage / Flooding,1288
2025-06,Sidewalk / Bike Lane,1
