council_district,standardized_category,lat_bin_approx_100m,lon_bin_approx_100m,cluster_request_count,open_cluster_count,long_resolution_cluster_count,median_resolution_days
I,Solid Waste / Recycling,29.758,-95.37,101,14,30,6.993506944444444
I,Road / Pothole / Bridge,29.669,-95.263,58,5,5,1.6887037037037036
G,Traffic Signals / Lighting,29.732,-95.461,52,2,0,0.01739004629629625
G,Traffic Signals / Lighting,29.748,-95.57,47,2,0,0.0073842592592592
G,Traffic Signals / Lighting,29.732,-95.459,44,0,1,0.0138310185185185
J,Traffic Signals / Lighting,29.716,-95.499,41,1,1,0.0141550925925925
D,Solid Waste / Recycling,29.622,-95.34,41,2,9,0.0652835648148148
H,Traffic Signals / Lighting,29.846,-95.363,38,1,0,0.0174421296296296
C,Traffic Signals / Lighting,29.803,-95.43,35,3,1,0.00937499999999995
J,Traffic Signals / Lighting,29.675,-95.561,34,3,1,0.0074884259259259
D,Traffic Signals / Lighting,29.669,-95.356,30,1,0,0.002974537037037
I,Solid Waste / Recycling,29.716,-95.321,29,4,6,4.054039351851852
C,Traffic Signals / Lighting,29.679,-95.493,29,0,0,0.0024074074074074
I,Traffic Signals / Lighting,29.758,-95.352,26,3,0,1.418153935185185
K,Traffic Signals / Lighting,29.644,-95.508,26,0,0,0.0412847222222222
B,Solid Waste / Recycling,29.868,-95.285,24,0,12,22.484247685185185
B,Solid Waste / Recycling,29.862,-95.286,24,1,9,8.844409722222222
C,Traffic Signals / Lighting,29.817,-95.43,24,4,0,0.0082407407407407
I,Road / Pothole / Bridge,29.669,-95.264,24,1,4,3.134027777777778
K,Traffic Signals / Lighting,29.659,-95.477,24,0,0,0.4420023148148148
B,Solid Waste / Recycling,29.862,-95.287,23,0,10,7.913645833333334
C,Traffic Signals / Lighting,29.696,-95.427,21,0,0,0.0376967592592592
H,Solid Waste / Recycling,29.836,-95.369,21,5,3,2.6201041666666667
E,Solid Waste / Recycling,29.784,-95.194,21,2,3,8.909490740740742
H,Solid Waste / Recycling,29.823,-95.415,20,0,3,10.622754629629627
D,Traffic Signals / Lighting,29.686,-95.341,20,2,0,0.5094791666666666
B,Traffic Signals / Lighting,29.848,-95.302,20,2,0,0.0098321759259259
K,Traffic Signals / Lighting,29.695,-95.427,19,0,0,0.0207291666666666
I,Drainage / Flooding,29.758,-95.37,19,3,1,1.8449652777777776
B,Traffic Signals / Lighting,29.864,-95.429,18,2,0,0.16316550925925924
H,Solid Waste / Recycling,29.786,-95.356,18,4,5,7.8551620370370365
A,Traffic Signals / Lighting,29.8,-95.516,18,0,0,0.007864583333333251
H,Solid Waste / Recycling,29.874,-95.396,18,1,1,8.884733796296297
G,Traffic Signals / Lighting,29.732,-95.46,18,0,0,0.01259259259259255
G,Traffic Signals / Lighting,29.755,-95.625,18,0,0,0.02049768518518515
G,Traffic Signals / Lighting,29.778,-95.618,18,1,2,1.051550925925926
G,Traffic Signals / Lighting,29.736,-95.598,18,2,0,1.511261574074074
G,Water,29.749,-95.534,17,0,0,0.11983217592592585
K,Traffic Signals / Lighting,29.68,-95.426,17,0,2,0.0108217592592592
G,Traffic Signals / Lighting,29.756,-95.645,17,0,1,0.0107523148148148
I,Traffic Signals / Lighting,29.686,-95.278,17,4,1,0.0076388888888888
H,Water,29.753,-95.342,17,0,1,0.19906249999999995
C,Solid Waste / Recycling,29.782,-95.417,17,1,12,56.999629629629624
F,Traffic Signals / Lighting,29.704,-95.56,17,1,2,0.03053240740740735
F,Traffic Signals / Lighting,29.704,-95.604,17,1,0,0.5176909722222222
F,Traffic Signals / Lighting,29.732,-95.567,17,2,0,0.8474537037037038
B,Traffic Signals / Lighting,29.888,-95.422,17,1,0,0.1612037037037037
C,Water,29.739,-95.415,17,2,1,0.0016782407407407
C,Water,29.734,-95.413,17,0,0,0.2283796296296296
A,Solid Waste / Recycling,29.799,-95.502,17,1,9,46.94140046296296
C,Road / Pothole / Bridge,29.747,-95.397,17,0,0,0.0035879629629629
C,Traffic Signals / Lighting,29.761,-95.398,16,1,1,0.0033796296296296
C,Solid Waste / Recycling,29.75,-95.391,16,0,3,0.00289351851851845
E,Traffic Signals / Lighting,30.05,-95.233,16,0,1,0.3588310185185185
B,Solid Waste / Recycling,29.818,-95.274,16,9,1,7.175960648148148
E,Traffic Signals / Lighting,29.609,-95.185,16,0,0,0.0113310185185185
E,Traffic Signals / Lighting,29.562,-95.141,16,0,0,0.0246006944444444
I,Traffic Signals / Lighting,29.753,-95.372,16,4,1,0.5037847222222221
G,Traffic Signals / Lighting,29.75,-95.497,16,1,0,0.0058796296296296
I,Traffic Signals / Lighting,29.691,-95.299,16,0,1,0.6730671296296297
B,Solid Waste / Recycling,29.863,-95.279,15,1,6,10.454699074074075
D,Solid Waste / Recycling,29.687,-95.351,15,2,3,3.9524537037037035
C,Water,29.725,-95.418,15,2,0,0.002199074074074
A,Traffic Signals / Lighting,29.773,-95.457,15,0,0,0.6446412037037037
J,Traffic Signals / Lighting,29.66,-95.558,15,2,1,0.00762731481481475
J,Solid Waste / Recycling,29.735,-95.47,15,2,3,3.9191435185185184
J,Traffic Signals / Lighting,29.723,-95.501,15,0,0,0.0127256944444444
C,Solid Waste / Recycling,29.735,-95.389,14,4,3,4.682060185185185
H,Water,29.829,-95.429,14,1,0,0.13626736111111104
H,Water,29.77,-95.377,14,0,1,0.6636689814814816
I,Road / Pothole / Bridge,29.799,-95.229,14,2,0,2.053125
C,Solid Waste / Recycling,29.758,-95.4,14,0,0,7.53125
B,Solid Waste / Recycling,29.864,-95.279,14,2,7,18.151568287037037
J,Traffic Signals / Lighting,29.735,-95.484,14,2,0,0.22707754629629628
J,Traffic Signals / Lighting,29.726,-95.468,14,0,0,0.0136921296296296
H,Solid Waste / Recycling,29.823,-95.417,14,0,4,10.888541666666669
I,Traffic Signals / Lighting,29.736,-95.304,14,2,0,0.2759722222222222
C,Solid Waste / Recycling,29.776,-95.405,14,8,2,13.131244212962962
A,Solid Waste / Recycling,29.808,-95.523,14,9,2,12.056828703703705
C,Solid Waste / Recycling,29.736,-95.423,14,0,2,4.965422453703704
A,Traffic Signals / Lighting,29.833,-95.484,14,1,1,0.0083912037037037
K,Solid Waste / Recycling,29.63,-95.429,14,1,3,4.054791666666667
D,Solid Waste / Recycling,29.627,-95.35,14,3,5,6.935173611111111
G,Traffic Signals / Lighting,29.737,-95.521,13,0,0,0.0367476851851851
G,Traffic Signals / Lighting,29.738,-95.501,13,1,1,0.02128472222222215
G,Solid Waste / Recycling,29.74,-95.45,13,4,0,4.915115740740741
B,Solid Waste / Recycling,29.867,-95.278,13,1,6,28.93990162037037
A,Traffic Signals / Lighting,29.813,-95.645,13,1,0,0.01064236111111105
K,Solid Waste / Recycling,29.656,-95.458,13,2,1,1.0967361111111111
C,Solid Waste / Recycling,29.755,-95.379,13,2,1,3.008136574074074
C,Solid Waste / Recycling,29.751,-95.389,13,2,1,3.3706655092592595
C,Solid Waste / Recycling,29.756,-95.378,13,2,2,2.7369618055555556
A,Traffic Signals / Lighting,29.807,-95.459,13,0,0,0.0055439814814814
H,Solid Waste / Recycling,29.792,-95.383,13,0,1,7.699843749999999
B,Solid Waste / Recycling,29.861,-95.286,13,0,9,28.51832175925926
F,Solid Waste / Recycling,29.734,-95.613,13,3,2,6.334467592592593
G,Solid Waste / Recycling,29.746,-95.506,13,1,3,2.0022800925925925
K,Traffic Signals / Lighting,29.667,-95.509,13,0,1,0.0236921296296296
K,Traffic Signals / Lighting,29.699,-95.406,13,0,0,0.3133101851851851
G,Traffic Signals / Lighting,29.754,-95.606,13,0,0,0.001099537037037
H,Traffic Signals / Lighting,29.804,-95.372,13,0,3,0.0257986111111111
D,Solid Waste / Recycling,29.63,-95.344,13,3,1,4.91296875
H,Solid Waste / Recycling,29.856,-95.386,13,5,8,51.858339120370374
D,Solid Waste / Recycling,29.731,-95.353,13,1,1,0.0010185185185185
C,Traffic Signals / Lighting,29.719,-95.409,13,1,2,1.000960648148148
A,Road / Pothole / Bridge,29.795,-95.476,13,3,1,0.9825983796296296
H,Water,29.823,-95.417,12,2,0,0.8578009259259259
C,Solid Waste / Recycling,29.746,-95.394,12,0,3,7.059039351851852
C,Solid Waste / Recycling,29.749,-95.401,12,2,1,2.4080902777777777
D,Solid Waste / Recycling,29.656,-95.352,12,0,7,49.96082175925926
H,Traffic Signals / Lighting,29.846,-95.403,12,3,0,0.0156597222222222
K,Solid Waste / Recycling,29.63,-95.455,12,0,0,4.019328703703704
A,Solid Waste / Recycling,29.823,-95.53,12,0,5,14.40045138888889
C,Solid Waste / Recycling,29.749,-95.399,12,3,4,12.281846064814815
I,Solid Waste / Recycling,29.704,-95.319,12,0,3,7.932361111111111
A,Traffic Signals / Lighting,29.788,-95.645,12,0,0,0.02164930555555555
C,Solid Waste / Recycling,29.756,-95.388,12,1,6,14.07148148148148
A,Solid Waste / Recycling,29.856,-95.496,12,0,3,7.171828703703704
D,Solid Waste / Recycling,29.621,-95.396,12,0,0,3.0913310185185185
B,Solid Waste / Recycling,29.838,-95.301,12,2,7,39.98317129629629
I,Traffic Signals / Lighting,29.71,-95.278,12,1,2,0.2302488425925926
G,Traffic Signals / Lighting,29.773,-95.563,12,1,1,0.0182407407407407
J,Water,29.678,-95.55,12,1,0,0.0013310185185185
B,Solid Waste / Recycling,29.846,-95.431,12,1,1,7.549606481481481
G,Traffic Signals / Lighting,29.748,-95.538,12,3,0,0.856412037037037
G,Road / Pothole / Bridge,29.737,-95.521,12,1,2,1.273414351851852
G,Solid Waste / Recycling,29.776,-95.549,12,0,1,7.1878125
J,Traffic Signals / Lighting,29.701,-95.518,12,0,0,0.0114467592592592
F,Solid Waste / Recycling,29.694,-95.592,12,2,1,3.079108796296296
F,Sewer / Wastewater,29.713,-95.586,12,1,1,0.6044328703703704
J,Solid Waste / Recycling,29.735,-95.48,12,4,1,5.00259837962963
D,Water,29.751,-95.376,12,0,0,1.7050347222222222
A,Solid Waste / Recycling,29.802,-95.505,12,0,2,4.580694444444444
A,Solid Waste / Recycling,29.802,-95.556,12,0,6,11.096498842592592
D,Solid Waste / Recycling,29.736,-95.363,12,0,3,5.035613425925926
D,Traffic Signals / Lighting,29.725,-95.351,12,2,0,0.0035185185185185
C,Solid Waste / Recycling,29.737,-95.407,12,5,5,16.94266203703704
F,Water,29.732,-95.517,12,0,0,0.53421875
F,Solid Waste / Recycling,29.663,-95.584,12,0,1,1.8389004629629633
D,Water,29.737,-95.351,11,1,3,6.364699074074074
D,Solid Waste / Recycling,29.738,-95.369,11,2,1,2.6876388888888894
D,Water,29.743,-95.376,11,0,1,0.42691550925925925
K,Solid Waste / Recycling,29.608,-95.429,11,3,2,6.176423611111112
E,Traffic Signals / Lighting,30.05,-95.184,11,1,0,0.0030787037037036504
F,Solid Waste / Recycling,29.672,-95.576,11,0,1,5.312546296296296
F,Water,29.69,-95.596,11,2,0,1.7887152777777775
F,Water,29.659,-95.593,11,0,0,0.0795601851851851
B,Solid Waste / Recycling,29.854,-95.285,11,1,4,8.900260416666665
G,Solid Waste / Recycling,29.744,-95.45,11,4,4,20.57033564814815
G,Water,29.743,-95.487,11,0,1,0.1988657407407407
G,Traffic Signals / Lighting,29.756,-95.636,11,0,0,0.0033564814814814
I,Water,29.818,-95.21,11,0,0,0.15147569444444442
J,Water,29.679,-95.552,11,2,0,0.001875
G,Solid Waste / Recycling,29.737,-95.629,11,7,0,
C,Solid Waste / Recycling,29.736,-95.417,11,3,1,0.062077546296296256
D,Solid Waste / Recycling,29.663,-95.322,11,0,1,3.0177314814814813
H,Traffic Signals / Lighting,29.841,-95.416,11,0,0,0.0012268518518518
H,Water,29.771,-95.369,11,2,2,1.0218518518518518
H,Traffic Signals / Lighting,29.846,-95.384,11,0,0,0.0249074074074074
I,Traffic Signals / Lighting,29.618,-95.213,11,2,0,0.040625
+,Traffic Signals / Lighting,0.0,0.0,11,0,0,0.0020659722222221497
K,Water,29.688,-95.393,11,0,0,0.47766782407407404
K,Traffic Signals / Lighting,29.631,-95.508,11,0,0,0.8580729166666667
C,Traffic Signals / Lighting,29.745,-95.391,11,0,0,1.036550925925926
C,Solid Waste / Recycling,29.755,-95.389,11,0,2,8.193408564814813
C,Traffic Signals / Lighting,29.725,-95.428,11,0,0,0.06060763888888885
C,Solid Waste / Recycling,29.75,-95.402,11,2,3,6.316423611111111
A,Solid Waste / Recycling,29.823,-95.554,11,1,4,6.743611111111111
D,Solid Waste / Recycling,29.732,-95.38,11,3,0,1.2314699074074076
D,Solid Waste / Recycling,29.693,-95.346,11,2,2,4.912216435185186
