scenario,council_district,rank,baseline_rank,rank_delta_from_baseline,score
baseline_area_density_fallback,C,1,1,0,80.45454545454545
baseline_area_density_fallback,H,2,2,0,78.63636363636363
baseline_area_density_fallback,D,3,3,0,65.90909090909092
baseline_area_density_fallback,B,4,4,0,60.909090909090914
baseline_area_density_fallback,I,5,5,0,55.0
baseline_area_density_fallback,A,6,6,0,52.27272727272727
baseline_area_density_fallback,K,7,7,0,50.90909090909091
baseline_area_density_fallback,J,8,8,0,44.99999999999999
baseline_area_density_fallback,G,9,9,0,40.90909090909091
baseline_area_density_fallback,F,10,10,0,39.54545454545455
baseline_area_density_fallback,E,11,11,0,30.454545454545457
equal_component_weights,C,1,1,0,77.27272727272728
equal_component_weights,H,2,2,0,75.75757575757575
equal_component_weights,D,3,3,0,66.66666666666667
equal_component_weights,B,4,4,0,63.63636363636364
equal_component_weights,A,5,6,-1,56.06060606060606
equal_component_weights,I,6,5,1,53.03030303030303
equal_component_weights,K,7,7,0,50.0
equal_component_weights,J,8,8,0,43.93939393939394
equal_component_weights,G,9,9,0,40.90909090909091
equal_component_weights,F,10,10,0,39.39393939393939
equal_component_weights,E,11,11,0,33.333333333333336
non_solid_waste_current_weights,C,1,1,0,82.72727272727272
non_solid_waste_current_weights,H,2,2,0,79.0909090909091
non_solid_waste_current_weights,D,3,3,0,62.27272727272727
non_solid_waste_current_weights,G,4,9,-5,60.454545454545446
non_solid_waste_current_weights,I,5,5,0,56.818181818181806
non_solid_waste_current_weights,J,6,8,-2,52.27272727272728
non_solid_waste_current_weights,B,7,4,3,51.36363636363637
non_solid_waste_current_weights,E,8,11,-3,42.27272727272729
non_solid_waste_current_weights,K,9,7,2,40.90909090909091
non_solid_waste_current_weights,A,10,6,4,37.72727272727273
non_solid_waste_current_weights,F,11,10,1,34.09090909090909
non_solid_waste_equal_weights,C,1,1,0,80.3030303030303
non_solid_waste_equal_weights,H,2,2,0,77.27272727272727
non_solid_waste_equal_weights,D,3,3,0,63.63636363636363
non_solid_waste_equal_weights,I,4,5,-1,57.57575757575758
non_solid_waste_equal_weights,G,5,9,-4,56.060606060606055
non_solid_waste_equal_weights,B,6,4,2,54.54545454545454
non_solid_waste_equal_weights,J,7,8,-1,50.0
non_solid_waste_equal_weights,E,8,11,-3,45.45454545454545
non_solid_waste_equal_weights,K,9,7,2,40.909090909090914
non_solid_waste_equal_weights,A,10,6,4,39.39393939393939
non_solid_waste_equal_weights,F,11,10,1,34.848484848484844
category_balanced_density_only,C,1,1,0,92.85714285714286
category_balanced_density_only,H,2,2,0,84.4155844155844
category_balanced_density_only,D,3,3,0,70.77922077922078
category_balanced_density_only,I,4,5,-1,64.28571428571429
category_balanced_density_only,G,5,9,-4,62.98701298701298
category_balanced_density_only,J,6,8,-2,56.493506493506494
category_balanced_density_only,K,7,7,0,55.1948051948052
category_balanced_density_only,B,8,4,4,35.714285714285715
category_balanced_density_only,F,9,10,-1,31.81818181818182
category_balanced_density_only,A,10,6,4,30.519480519480517
category_balanced_density_only,E,11,11,0,14.935064935064934
