source_district_label,spatial_district_label,request_count,source_district_total,share_of_source_district
+,UNASSIGNED,325,474,0.6856540084388185
+,B,36,474,0.0759493670886076
+,I,32,474,0.06751054852320675
+,C,25,474,0.052742616033755275
+,A,18,474,0.0379746835443038
+,G,9,474,0.0189873417721519
+,K,8,474,0.016877637130801686
+,H,7,474,0.014767932489451477
+,E,6,474,0.012658227848101266
+,F,4,474,0.008438818565400843
+,D,3,474,0.006329113924050633
+,J,1,474,0.002109704641350211
A,A,6824,6852,0.9959136018680678
A,I,11,6852,0.0016053706946876824
A,C,9,6852,0.0013134851138353765
A,UNASSIGNED,3,6852,0.00043782837127845885
A,B,2,6852,0.0002918855808523059
A,H,2,6852,0.0002918855808523059
A,G,1,6852,0.00014594279042615295
B,B,9858,9947,0.9910525786669347
B,H,35,9947,0.003518648838845883
B,UNASSIGNED,25,9947,0.002513320599175631
B,I,19,9947,0.0019101236553734793
B,A,10,9947,0.0010053282396702524
C,C,11813,11903,0.9924388809543813
C,H,23,11903,0.001932285978324792
C,K,22,11903,0.0018482735444845838
C,D,17,11903,0.001428211375283542
C,G,12,11903,0.0010081492060825003
C,I,11,11903,0.0009241367722422919
C,UNASSIGNED,3,11903,0.0002520373015206251
C,A,1,11903,8.401243384020835e-05
C,J,1,11903,8.401243384020835e-05
D,D,9852,10746,0.9168062534896706
D,UNASSIGNED,853,10746,0.07937837334822259
D,C,24,10746,0.002233389168062535
D,I,16,10746,0.00148892611204169
D,K,1,10746,9.305788200260562e-05
E,UNASSIGNED,3005,4809,0.6248700353503847
E,E,1786,4809,0.37138698274069454
E,I,18,4809,0.0037429819089207735
F,F,4666,4734,0.9856358259400084
F,G,42,4734,0.008871989860583017
F,UNASSIGNED,11,4734,0.0023236163920574565
F,I,9,4734,0.0019011406844106464
F,J,6,4734,0.0012674271229404308
G,G,4389,4452,0.9858490566037735
G,C,29,4452,0.00651392632524708
G,UNASSIGNED,14,4452,0.0031446540880503146
G,I,10,4452,0.0022461814914645105
G,F,6,4452,0.0013477088948787063
G,A,3,4452,0.0006738544474393531
G,J,1,4452,0.00022461814914645105
H,H,9294,9352,0.993798118049615
H,I,24,9352,0.0025662959794696323
H,B,20,9352,0.00213857998289136
H,C,12,9352,0.0012831479897348161
H,UNASSIGNED,2,9352,0.000213857998289136
I,I,8759,8787,0.9968134744508934
I,UNASSIGNED,13,8787,0.0014794582906566519
I,D,10,8787,0.0011380448389666552
I,H,5,8787,0.0005690224194833276
J,J,3066,3140,0.9764331210191083
J,F,27,3140,0.008598726114649681
J,G,16,3140,0.005095541401273885
J,C,12,3140,0.003821656050955414
J,K,10,3140,0.0031847133757961785
J,I,7,3140,0.0022292993630573248
J,UNASSIGNED,2,3140,0.0006369426751592356
K,K,7449,7547,0.9870147078309262
K,D,44,7547,0.005830131177951504
K,C,18,7547,0.0023850536637074335
K,I,17,7547,0.0022525506823903537
K,UNASSIGNED,14,7547,0.001855041738439115
K,J,5,7547,0.0006625149065853981
