council_district,district_area_sq_mi,estimated_population,estimated_households,request_count,unresolved_count,long_resolution_count,repeat_clustered_count,median_resolution_days,theme,requests_per_sq_mile,requests_per_10k_residents,unresolved_share,long_resolution_share
A,82.15380733687743,,,1546,220,121,610,1.0606828703703703,roads_signals_sidewalks,18.818360951434897,,0.1423027166882277,0.07826649417852523
B,112.86820451786754,,,1684,247,185,531,1.5608217592592593,roads_signals_sidewalks,14.920056602241912,,0.14667458432304037,0.10985748218527316
C,35.18519681491094,,,2752,403,306,965,1.6756886574074072,roads_signals_sidewalks,78.21471098987132,,0.1464389534883721,0.11119186046511628
D,58.48669326173092,,,1986,267,248,625,1.5810706018518519,roads_signals_sidewalks,33.95644187153049,,0.13444108761329304,0.12487411883182276
E,129.7635477981261,,,917,105,95,312,1.1214814814814815,roads_signals_sidewalks,7.066699512767501,,0.11450381679389313,0.10359869138495092
F,53.31210703810855,,,928,105,102,368,1.580474537037037,roads_signals_sidewalks,17.406927836047583,,0.11314655172413793,0.10991379310344827
G,33.37001642174926,,,1652,185,123,845,0.9772453703703704,roads_signals_sidewalks,49.50551953948969,,0.11198547215496368,0.07445520581113801
H,41.939097556354895,,,1909,253,186,546,1.7881712962962963,roads_signals_sidewalks,45.518385259358915,,0.13253012048192772,0.09743321110529073
I,56.481656888417724,,,1976,267,231,732,1.5894907407407408,roads_signals_sidewalks,34.98480938517233,,0.13512145748987855,0.11690283400809717
J,20.78955100397228,,,926,109,70,395,0.9615625,roads_signals_sidewalks,44.54160649371736,,0.11771058315334773,0.0755939524838013
K,47.40965849541504,,,1271,137,117,489,1.3240625,roads_signals_sidewalks,26.808883259998968,,0.1077891424075531,0.0920535011801731
A,82.15380733687743,,,3981,663,1630,1920,14.65429976851852,solid_waste_recycling,48.45788806446463,,0.16654107008289373,0.40944486309972367
B,112.86820451786754,,,5930,1441,1681,3126,7.945694444444444,solid_waste_recycling,52.539154187229535,,0.24300168634064082,0.28347386172006744
C,35.18519681491094,,,6180,1166,1719,3761,8.284618055555555,solid_waste_recycling,175.6420472083593,,0.18867313915857606,0.27815533980582524
D,58.48669326173092,,,5769,848,1869,3203,8.556950231481482,solid_waste_recycling,98.63782132772377,,0.1469925463685214,0.32397295891835676
E,129.7635477981261,,,2405,351,810,910,10.097604166666668,solid_waste_recycling,18.533710281576706,,0.14594594594594595,0.3367983367983368
F,53.31210703810855,,,2124,462,355,1106,5.650034722222222,solid_waste_recycling,39.84085638336753,,0.2175141242937853,0.16713747645951035
G,33.37001642174926,,,953,250,338,466,14.872662037037037,solid_waste_recycling,28.5585715018969,,0.2623294858342078,0.3546694648478489
H,41.939097556354895,,,5439,1170,1509,2796,7.935370370370371,solid_waste_recycling,129.68805522559094,,0.2151130722559294,0.2774407060121346
I,56.481656888417724,,,4734,653,1452,2285,7.907418981481482,solid_waste_recycling,83.81482167480053,,0.13793831854668356,0.30671736375158426
J,20.78955100397228,,,1291,310,285,575,7.109045138888889,solid_waste_recycling,62.098503221802495,,0.24012393493415957,0.22075910147172734
K,47.40965849541504,,,4352,792,1156,2059,6.679039351851852,solid_waste_recycling,91.79564118608616,,0.18198529411764705,0.265625
A,82.15380733687743,,,1332,135,132,325,0.8485069444444444,water_sewer_drainage,16.21349080679902,,0.10135135135135136,0.0990990990990991
B,112.86820451786754,,,2327,264,279,503,0.8697569444444444,water_sewer_drainage,20.61696657566326,,0.11345079501504082,0.11989686291362268
C,35.18519681491094,,,3013,340,238,1057,0.7480439814814814,water_sewer_drainage,85.63260327488456,,0.11284434118818454,0.07899103883172917
D,58.48669326173092,,,3024,340,349,783,0.8615972222222222,water_sewer_drainage,51.704068589883285,,0.11243386243386243,0.11541005291005291
E,129.7635477981261,,,1475,191,172,269,1.0828472222222223,water_sewer_drainage,11.366828551070952,,0.12949152542372883,0.11661016949152542
F,53.31210703810855,,,1662,138,109,620,0.3312673611111111,water_sewer_drainage,31.174907396024874,,0.08303249097472924,0.06558363417569193
G,33.37001642174926,,,1878,180,144,688,0.8090856481481481,water_sewer_drainage,56.27806640142956,,0.09584664536741214,0.07667731629392971
H,41.939097556354895,,,2020,262,231,543,0.9080208333333334,water_sewer_drainage,48.16508026396281,,0.1297029702970297,0.11435643564356436
I,56.481656888417724,,,2236,253,210,619,0.7326041666666666,water_sewer_drainage,39.588073777958165,,0.1131484794275492,0.09391771019677997
J,20.78955100397228,,,865,87,74,241,0.5075810185185186,water_sewer_drainage,41.60744019121546,,0.10057803468208093,0.08554913294797688
K,47.40965849541504,,,1881,207,166,410,0.7418055555555556,water_sewer_drainage,39.675459804923726,,0.11004784688995216,0.08825093035619351
