standardized_category,request_type,request_count
Solid Waste / Recycling,Missed Recycling Pickup,9191
Solid Waste / Recycling,Missed Garbage Pickup,3604
Water,Water Leak,2251
Traffic Signals / Lighting,Traffic Signal Maintenance,1992
Water,Water Service,1648
Solid Waste / Recycling,Missed Heavy Trash Pickup,1556
Sewer / Wastewater,Sewer Wastewater,1262
Solid Waste / Recycling,Container Replacement,1227
Road / Pothole / Bridge,Street Condition,1222
Road / Pothole / Bridge,Street Hazard,1149
Drainage / Flooding,Drainage,942
Traffic Signals / Lighting,Traffic Signs,793
Solid Waste / Recycling,Heavy Trash Code Violation,791
Solid Waste / Recycling,Trash Dumping or Illegal Dumpsite,785
Solid Waste / Recycling,Container Repair,659
Solid Waste / Recycling,New Resident Container,609
Solid Waste / Recycling,Recycling Participation NEW,576
Road / Pothole / Bridge,Pothole,562
Solid Waste / Recycling,Recycling Cart Replace,338
Water,Water Main Valve,332
Drainage / Flooding,Water/Sewer/Drainage Billing,240
Solid Waste / Recycling,Recycling Cart Repair,233
Water,Water Meter,190
Water,Water Quality,175
Traffic Signals / Lighting,Traffic Signals,170
Traffic Signals / Lighting,Traffic General,128
Traffic Signals / Lighting,Traffic Markings,97
Drainage / Flooding,Flooding,77
Solid Waste / Recycling,Dumpster Complaint,53
Solid Waste / Recycling,Container Placement,43
Road / Pothole / Bridge,Traffic Bridge/Freeway Lighting,41
Sewer / Wastewater,Sewer Manhole,40
Road / Pothole / Bridge,Bridge and Barricade,27
Solid Waste / Recycling,Storm Debris Collection,27
Traffic Signals / Lighting,Lighting,16
Traffic Signals / Lighting,Traffic Applications,15
Water,Set Usage Water Billing,14
Drainage / Flooding,Drainage System Violation,14
Drainage / Flooding,Floodplain,12
Solid Waste / Recycling,Spilled Debris,12
Water,Water or Ground Pollution,10
Water,Major Water Leak,9
Road / Pothole / Bridge,Graffiti - City Bridge,8
Water,Weeds/Trash/Stagnant Water on Property,6
Traffic Signals / Lighting,Traffic School Zone,6
Water,Water Playground Repair,3
Drainage / Flooding,Poor Drainage,3
Road / Pothole / Bridge,Graffiti - City Street/Curb,3
Road / Pothole / Bridge,Street Assessment,2
Solid Waste / Recycling,Recycling Information,2
Traffic Signals / Lighting,Traffic Safety,2
Road / Pothole / Bridge,Malfunctioning Railroad Signal,1
Sidewalk / Bike Lane,Sidewalk Repair,1
Solid Waste / Recycling,Automated Recycling for Business NEW,1
Road / Pothole / Bridge,Parking Lot Pothole,1
Water,Minor Water Leak,1
